only does,1
her entree,1
an hour ago,1
besides him almost,1
no hot water,1
Tori Kara Don,1
of lemon It,1
down The hookah,1
your welcome buyer,1
of Ithaca's,1
that I suspected,1
surrounding areas,1
place next,1
noticed that if,1
YCI,2
a more definite,1
a fairly upscale,1
be exaggerating a,1
series are barreling,1
use a bathroom,1
quiet and,1
their options and,1
is where women,1
or High Street,1
Mockingbird Cafe,1
joes has better,1
mushrooms I,1
here and have,1
shortage,1
fail,6
and cauliflower,1
a modicum of,2
will just never,1
when eating out,1
Tuesday around 3,1
gifted,1
a cupcake,4
little bit,10
tapioca was good,1
place over,1
get at least,1
friends,66
dogs,12
the company,2
Nike,6
disappointed that,4
back unless someone,1
where smokers like,1
and while they,2
bit healthier than,1
want a shovel,1
kale Wonder if,1
what shrimp,1
do offer,2
miss We,1
line when,1
taken advil beforehand,1
Andy Z They,1
along the way,2
to go One,1
Used them,1
find his last,1
basically berated,1
for sushi,2
the company that,1
worst dessert,1
yuck Shrimp,1
any of them,2
fast Food,1
broth was to,1
the runner,1
everyone called in,1
sweet potatos,1
Lemony Lemon and,1
to every,2
dark with typical,1
restaurant was located,1
bland one,1
guy ANyway,1
Saturday night,2
else so,2
for iceless water,1
table Our starter,1
into the building,1
Sadly it was,1
really open before,1
wait If the,1
expectation from,1
that of,1
evenly And,1
not crowded Once,1
other dental,1
will I've never,1
It continued The,1
span your bike,1
every person who,1
mediocre to,1
here are typical,1
dinner visit to,1
at Rosegreen's is,1
of NY Style,1
dog and 1,1
store for 10,1
than before FREEZING,1
been KILLING,1
Bagel dogs are,1
voice my,1
chocolate nutella,1
them in boiling,1
with amore,1
here and there,1
stored in the,1
them too,2
will fall,1
that made,4
noticed there,1
pushed for,1
Red Onion,1
in Montrose on,1
tasteless It,1
found the choice,1
so you'll be,1
energy hip hop,1
Manager2 just said,1
dry Flavorless chicken,1
was frankly,3
two words overrated,1
don't eat there,1
was not mad,1
cashiers and,1
our table dozens,1
appetizing thing you,1
trails Lucy's is,1
it certainly,2
vinegar The sandwich,1
It was rather,1
eating Since,1
card where,1
It is pretty,1
my reviews so,1
reviews and wanting,1
eat our,1
item bento,1
drastic like poshe,1
And then,5
I never,12
printed lists that,1
acceptable if,1
Ra's,3
Hmmmm To,1
to Midtown Tavern,1
Not recommended,1
Bell you,1
drink beer eat,1
warmer I,1
envelops,1
so unless you,1
alone I was,1
Actually this,1
to the bone,1
to look,15
I wish that,1
beer except us,1
back I think,1
only give Azumi,1
Thursday night It,1
the food might,2
types are the,1
and new inventions,1
but the careless,1
else was,3
I realized,11
pinch,4
out it,3
disgust,1
are such,1
place off,1
obviously forgettable and,1
unfriendly and unhelpful,1
down and went,1
any one,1
Certainly,2
my second go,1
believe it would,1
grab,15
C,5
know I got,1
But the noodles,1
advise,3
Great sushi,1
was on our,1
O rings,1
so you,22
was a one,1
pretty good compared,1
in mind that,1
yelp review and,1
I didnt have,1
your competitors,1
order the special,1
only TWICE have,1
only told by,1
frustrating when,1
small bowl of,1
ruining or wrinkling,1
fine print,1
its fast,1
people along,1
impressive collection of,1
two flavors left,1
modern tastefully,1
I think not,1
gets one,1
She then told,1
for my taste,4
are millions of,1
the photos did,1
immediately seated and,1
mom said,1
number of other,1
out cheap and,1
like breakfast burritos,1
a free drink,3
idea of frozen,1
originally anticipated a,1
also unappealing,1
feet long and,1
my opinion was,1
find the spiciest,1
apart dumplings are,1
Quality Atmosphere,1
very little bbq,1
aftertaste not good,1
into the tiny,2
student reasonably expect,1
potential bedbugs and,1
did lunch,1
crack and don't,1
began but,1
such an expensive,2
after a shower,1
Wait I remember,1
you the drunken,1
phone I ordered,1
this incident,1
stop being so,1
wobbled and,1
it through,1
awesome but we,1
prefer more,1
well seasoned and,1
at 5,1
had flavors on,1
painful Granted,1
bit soggy One,1
really good The,1
quality chocolate,1
towards my discomfort,1
Cheap cheerful and,1
this IMAX,1
have officially hit,1
socially awkward and,1
another mediocre,2
cockles or,1
don't like Mexican,1
place several,1
made some people,1
expensive small tiny,1
this area a,1
a bit and,1
NEED,1
during lunch is,1
lanes I,1
momoko,4
positions to,1
for hookah,1
of their many,1
the thickness,1
great design,1
Vik,1
an avacado crab,1
Oftenonly an iceberg,1
to JP,1
dressing I ate,1
that he'd spoken,1
here and called,1
time have had,1
tossing,2
dishes that,1
what reminds me,1
time on logistics,1
see Champaign has,1
Ambience if,1
tch mode and,1
it a couple,1
We found our,1
entrances look,1
tables they have,1
disgusting bathrooms,1
admit that being,1
plum,1
bubbles and,3
places have such,1
those cheap beers,1
How much,1
gourmet lettuce and,1
that,1445
from the line,1
roughly identical in,1
that way but,1
my nose up,1
blondies,1
you'll have,2
annoying because it,1
this be The,1
a door located,1
as well stop,1
once and felt,1
vegan culture,1
you're a cash,1
However I've,1
my eyes so,1
chutney I,1
recommend King's,1
35 min,1
they distracted the,1
6 pound,1
dub the,1
that were,16
Mexican restaurants,2
an expired,1
Thanksgiving it,1
dinner This,1
are casual and,1
sangria was terrific,1
ridiculous I'm,1
probably never,1
an advantage,1
about But I,1
come out first,1
is colorful the,1
pizza and a,1
rib dish,1
worst Chinese restaurant,1
minor bout of,1
mins of,1
place Need I,1
selection and the,1
in the people,1
there on Tuesday,1
Meat was,1
wings at,1
their sauce wasn't,1
plunging down once,1
is about it,1
a dollup,1
and stuffed,1
them a stinkin',1
filled with raisinettes,1
the nice comfy,1
out 30,1
day don't,1
boring taste,1
and the slices,1
now it's,1
after more than,1
work attire,1
Mongols plenty of,1
dungeon,2
plain boiled greens,1
toast Zoe's is,1
street to,5
a burger with,2
not buy,1
which liked it,1
said they had,1
decided to march,1
crust pizza,3
Not the most,1
us which includes,1
decent specials predictable,1
salsa green salsa,1
tax automatic gratuity,1
at YCI fool,1
bad experiences should,1
quesadilla The,1
better spots,1
tangy when everything,1
silverware because he,1
no no people,1
scandal the,1
guess the manager,1
room I had,1
cheap it's,1
was definitely a,2
veggies odd carrots,1
2 stars because,4
lady kept,1
and high price,1
entering our,1
extra napkins,1
also smelled like,1
3 It's cold,1
huge bites,1
lot of onions,1
anyone want,1
